donor,proportion,passage,harvestday,well,um_pb2
CHB4,0.02688,0,0,0,0
CHB11,0.02563,0,0,0,0
CSES15,0.05149,0,0,0,0
CSES25,0.02038,0,0,0,0
CT2,0.02015,0,0,0,0
CT4,0.0183,0,0,0,0
ESI017,0.02545,0,0,0,0
ESI049,0.02312,0,0,0,0
ESI051,0.02284,0,0,0,0
Genea15,0.0292,0,0,0,0
Genea16,0.02894,0,0,0,0
Genea42,0.02312,0,0,0,0
Genea47,0.02231,0,0,0,0
Genea52,0.03114,0,0,0,0
HS401,0.02324,0,0,0,0
HS420,0.02843,0,0,0,0
HUES42,0.02736,0,0,0,0
HUES44,0.01959,0,0,0,0
HUES45,0.02672,0,0,0,0
HUES49,0.03487,0,0,0,0
HUES63,0.0229,0,0,0,0
HUES64,0.02311,0,0,0,0
HUES75,0.02381,0,0,0,0
Mel2,0.02747,0,0,0,0
RUES1,0.02665,0,0,0,0
UCLA10,0.03085,0,0,0,0
UCLA13,0.03526,0,0,0,0
UCLA2,0.02617,0,0,0,0
UCSF4,0.01232,0,0,0,0
UM14-1,0.02836,0,0,0,0
UM77-2,0.02642,0,0,0,0
WA7,0.0172,0,0,0,0
WA09,0.02652,0,0,0,0
WA13,0.04882,0,0,0,0
WA15,0.02467,0,0,0,0
WA17,0.02619,0,0,0,0
WA22,0.02314,0,0,0,0
WA24,0.02094,0,0,0,0
CHB4,0.00781,1,6,1,0
CHB11,0.02145,1,6,1,0
CSES15,0.04405,1,6,1,0
CSES25,0.01559,1,6,1,0
CT2,0.02493,1,6,1,0
CT4,0.02664,1,6,1,0
ESI017,0.02261,1,6,1,0
ESI049,0.05555,1,6,1,0
ESI051,0.02494,1,6,1,0
Genea15,0.00764,1,6,1,0
Genea16,0.01791,1,6,1,0
Genea42,0.01472,1,6,1,0
Genea47,0.0102,1,6,1,0
Genea52,0.03437,1,6,1,0
HS401,0.0994,1,6,1,0
HS420,0.02535,1,6,1,0
HUES42,0.03005,1,6,1,0
HUES44,0.03119,1,6,1,0
HUES45,0.0151,1,6,1,0
HUES49,0.02125,1,6,1,0
HUES63,0.04614,1,6,1,0
HUES64,0.02185,1,6,1,0
HUES75,0.02927,1,6,1,0
